# Trajectory Data
# Closed:,False
# Number of points:,100
# Has velocities:,True
# Has accelerations:,True

Point_Index,X,Y,Normal_X,Normal_Y,Curvature,Velocity,Accel_Type
1,-45.47106976573893,21.73295454545456,-0.9579910609049573,0.2867980600112112,0,0.0,Acceleration
2,-44.93608440605759,23.519965211669373,-0.9454253008748968,0.32583891797268616,0.04458282253847918,6.049679198318761,Acceleration
3,-44.26199430202505,25.241100660026337,-0.9158236859350504,0.4015805974898916,0.043619348410117345,8.506451009178464,Acceleration
4,-43.457140355023604,26.8927675845324,-0.8812950240370148,0.4725664827382467,0.04242447999754561,10.319467212916372,Acceleration
5,-42.52986346643558,28.471372679194513,-0.8426337786540063,0.538487061192069,0.04111058745036629,11.76332440448187,Acceleration
6,-41.48850453764336,29.973322638019667,-0.8005621386036517,0.5992497494654024,0.039776923811209765,12.945634780104955,Acceleration
7,-40.34140447002924,31.3950241550148,-0.7556917132875662,0.654927503215816,0.03850553763214461,13.924231626103495,Acceleration
8,-39.096904164975555,32.73288392418687,-0.7085048049156649,0.7057059879379056,0.03736073165899499,14.735699771917027,Acceleration
9,-37.76334452386466,33.983308639542855,-0.6593507749363338,0.7518354577903706,0.03639080381388221,15.404781109269672,Acceleration
10,-36.34906644807889,35.142704995089694,-0.6084525437598998,0.7935902607719598,0.03563090138612597,15.947700714549866,Acceleration
11,-34.86241083900055,36.20747968483438,-0.5559189678238895,0.8312364893420051,0.035106114737630444,16.372852121468263,Acceleration
12,-33.31171859801199,37.17403940278383,-0.5017600435397541,0.8650068547167612,0.03483425177430404,16.679089797233967,Coast
13,-31.705330626495556,38.03879084294503,-0.4459031452071893,0.8950812170380608,0.034827978156019554,16.733861009418995,Braking
14,-30.05158782583356,38.79814069932494,-0.38820959786839904,0.9215711085547635,0.03509615717427947,16.637150600359483,Braking
15,-28.35883109740836,39.448495665930515,-0.32849175814025267,0.9445068368381067,0.03564428984104294,16.476331327786596,Braking
16,-26.63540134260227,39.98626243676871,-0.266531443432222,0.9638262237882596,0.03647396672647822,16.319890191192034,Braking
17,-24.889639462797632,40.4078477058465,-0.20210637436958864,0.9793635757159747,0.037574588853865595,16.142212574534998,Braking
18,-23.12987344523881,40.70968073734174,-0.13595493516255444,0.9907150223979374,0.037783211165859164,16.11332144519562,Constant
19,-21.362308885143516,40.89190012166748,-0.0711975370493694,0.9974622352340482,0.035477674576998026,16.11332144519562,Acceleration
20,-19.58868755996991,40.96244590915396,-0.01079398550807955,0.9999417432415008,0.03252675918249073,16.480846415658068,Acceleration
21,-17.810187220554337,40.93024390522253,0.0443929340259075,0.9990141477519582,0.02937938758289426,16.934806639853182,Acceleration
22,-16.027985617733147,40.80421991529458,0.09404477297400067,0.9955679688882466,0.026174902625346757,17.456843488308362,Acceleration
23,-14.24326050234268,40.593299744791466,0.13807635073614738,0.9904215876925282,0.023013744078233728,18.035153185404997,Acceleration
24,-12.457189625219286,40.30640919913455,0.17656846166996837,0.9842883613776509,0.019959463778553604,18.66028416679041,Acceleration
